153,2 bathrooms,2 bedrooms,"Valleyview Dr, Kamloops, BC V2C, Canada",1200.00
154,1 bathroom,2 bedrooms and den,"Trans-Canada Hwy, Kamloops, BC V2C, Canada",1100.00
155,2 bathrooms,3 bedrooms,", V1S1Y7, Kamloops, BC",2000.00
156,1 bathroom,3 bedrooms,"Chase,BC, Canada",Please Contact
157,1 bathroom,2 bedrooms,"Clearwater, BC V0E, Canada",Please Contact
158,1 bathroom,1 bedroom,", Kamloops V1S1L5 BC",1000.00
159,1.5 bathrooms,4 bedrooms,", Kamloops V2b3s5 BC, Canada",1800.00
160,1 bathroom,2 bedrooms,"Clearwater, BC V0E, Canada",Please Contact
161,1 bathroom,3 bedrooms,", V2B 6X1, Kamloops, BC",Please Contact
162,1 bathroom,3 bedrooms,", V2B 6X1, Kamloops, BC",Please Contact
163,1 bathroom,1 bedroom and den,", Kamloops V2B6X1 BC, Canada",Please Contact
164,1 bathroom,3 bedrooms,", kamloops v2e 2m9 BC, Canada",Please Contact
165,1 bathroom,2 bedrooms,"V1S0A2, Canada",Please Contact
166,1 bathroom,2 bedrooms and den,", Kamloops V2b 5b6 BC, Canada",Please Contact
167,No,1 bathroom,"Oak Rd, Kamloops, BC V2B 1K8, Canada",1200.00
168,1 bathroom,2 bedrooms,"Linthorpe Road, Kamloops V2B 7S3 BC",1525.00
169,1 bathroom,Bachelor or studio,"York Ave, Kamloops, BC V2B 2A6, Canada",650.00
170,No,1 bathroom,"barriere, Canada",Please Contact
171,2 bathrooms,4 bedrooms,"774 Stewart Ave, Kamloops, BC V2B 3W7, Canada",1600.00
172,5 bathrooms,5 bedrooms,"V1S1A5, Canada",1850.00
173,1 bathroom,3 bedrooms,"227 Holly Ave, Kamloops V2B 2L2 BC",1750.00
174,2 bathrooms,4 bedrooms,"1605 Summit Dr, Kamloops, BC V2E 2A5, Canada",2000.00
175,1 bathroom,1 bedroom,"6500 Trans-Canada Hwy, Savona, BC V0K 2J0, Canada",300.00
176,2 bathrooms,4 bedrooms,"V2B 1M6, Canada",2000.00
177,1 bathroom,3 bedrooms,"kamloops, Canada",Please Contact
178,2 bathrooms,3 bedrooms,"1850 Hugh Allen Drive, V1S0C2, Kamloops, BC",2200.00
179,1 bathroom,4 bedrooms,", kamloops V2E 1X3 BC, Canada",Please Contact
180,1.5 bathrooms,4 bedrooms,", Kamloops V2B7G3 BC, Canada",2000.00
181,2 bathrooms,4 bedrooms,", Merritt V1K 3B8 BC, Canada",2310.00
182,1 bathroom,1 bedroom,"Kamloops, BC V2B8B6, Canada",Please Contact
183,2 bathrooms,4 bedrooms,", V1S 1Z8, Kamloops, BC",Please Contact
184,2 bathrooms,3 bedrooms,", Kamloops  V2C1K7 BC, Canada",2500.00
